input_value,input_label,pred_value,pred_label
43,normal,48.37333,normal
43,normal,43.836052,normal
37,normal,35.52667,normal
55,normal,54.17145,normal
47,normal,46.68611,normal
44,normal,41.166725,normal
41,normal,41.09037,normal
55,normal,55.996273,elevated
50,normal,48.79035,normal
29,normal,30.30418,normal
53,normal,51.807304,normal
51,normal,52.29258,normal
25,normal,22.234184,normal
51,normal,50.4263,normal
61,elevated,59.39152,elevated
53,normal,51.921795,normal
46,normal,42.460083,normal
55,normal,55.213184,elevated
48,normal,48.431313,normal
54,normal,54.114536,normal
87,elevated,82.49776,elevated
63,elevated,60.909576,elevated
55,normal,52.998367,normal
61,elevated,59.874935,elevated
37,normal,34.17013,normal
25,normal,29.474443,normal
61,elevated,58.66439,elevated
34,normal,31.947065,normal
65,elevated,63.429947,elevated
63,elevated,60.917194,elevated
58,elevated,57.274654,elevated
57,elevated,57.67111,elevated
68,elevated,68.863144,elevated
58,elevated,56.90244,elevated
39,normal,39.411835,normal
57,elevated,55.729774,elevated
61,elevated,59.352276,elevated
52,normal,51.16773,normal
41,normal,37.873302,normal
60,elevated,57.525864,elevated
56,elevated,55.364536,elevated
51,normal,48.97213,normal
63,elevated,62.03487,elevated
59,elevated,57.257416,elevated
83,elevated,79.36435,elevated
53,normal,50.59031,normal
54,normal,52.665154,normal
61,elevated,57.609905,elevated
42,normal,39.86977,normal
53,normal,52.55525,normal
38,normal,37.11423,normal
55,normal,52.99989,normal
38,normal,38.830402,normal
37,normal,35.452347,normal
59,elevated,57.591568,elevated
60,elevated,58.423172,elevated
43,normal,45.437134,normal
59,elevated,57.549145,elevated
66,elevated,65.00471,elevated
68,elevated,65.57166,elevated
22,normal,21.43075,normal
58,elevated,55.334175,elevated
46,normal,42.405415,normal
53,normal,51.73335,normal
55,normal,52.471504,normal
59,elevated,57.225372,elevated
51,normal,50.87435,normal
33,normal,30.305199,normal
28,normal,27.575235,normal
56,elevated,53.496693,normal
59,elevated,58.015015,elevated
63,elevated,61.442146,elevated
118,elevated,109.36685,elevated
53,normal,51.7442,normal
39,normal,39.451153,normal
63,elevated,59.43263,elevated
53,normal,51.133064,normal
57,elevated,56.997692,elevated
52,normal,51.74576,normal
52,normal,51.4031,normal
18,normal,18.120787,normal
58,elevated,57.937153,elevated
52,normal,52.38866,normal
55,normal,51.989044,normal
45,normal,44.92117,normal
34,normal,33.405937,normal
52,normal,51.294636,normal
56,elevated,55.49958,elevated
63,elevated,62.198555,elevated
56,elevated,55.17219,elevated
52,normal,49.877487,normal
51,normal,50.83688,normal
84,elevated,82.13558,elevated
52,normal,48.129173,normal
37,normal,33.63192,normal
27,normal,25.24476,normal
40,normal,39.7726,normal
28,normal,31.28287,normal
51,normal,49.199898,normal
24,normal,22.64167,normal
65,elevated,60.271236,elevated
55,normal,55.017937,elevated
52,normal,50.958813,normal
71,elevated,69.40218,elevated
62,elevated,62.69155,elevated
51,normal,51.624233,normal
37,normal,34.562325,normal
35,normal,34.954247,normal
49,normal,49.945744,normal
58,elevated,55.52634,elevated
52,normal,48.12073,normal
46,normal,41.273247,normal
51,normal,50.04971,normal
54,normal,53.273304,normal
49,normal,48.7166,normal
56,elevated,57.66065,elevated
57,elevated,54.589813,normal
62,elevated,58.011322,elevated
56,elevated,53.32272,normal
39,normal,38.883514,normal
60,elevated,58.99015,elevated
26,normal,26.742659,normal
54,normal,52.384113,normal
37,normal,34.929108,normal
55,normal,53.97829,normal
50,normal,50.290546,normal
45,normal,43.76728,normal
74,elevated,74.194954,elevated
53,normal,52.770397,normal
44,normal,46.709034,normal
51,normal,49.05252,normal
24,normal,23.838425,normal
57,elevated,55.66573,elevated
59,elevated,58.75978,elevated
51,normal,51.384914,normal
71,elevated,69.301346,elevated
55,normal,54.71989,normal
52,normal,51.182343,normal
54,normal,53.880398,normal
52,normal,51.43361,normal
59,elevated,58.69459,elevated
65,elevated,63.155506,elevated
15,normal,14.866611,normal
41,normal,37.749004,normal
38,normal,32.450783,normal
34,normal,32.854942,normal
48,normal,49.09072,normal
57,elevated,54.82986,normal
