input_value,input_label,pred_value,pred_label
59,elevated,57.609592,elevated
56,elevated,58.995705,elevated
48,normal,47.84827,normal
58,elevated,58.26431,elevated
59,elevated,60.58032,elevated
55,normal,55.8968,elevated
52,normal,51.136143,normal
59,elevated,59.90081,elevated
49,normal,49.874706,normal
54,normal,53.577595,normal
54,normal,53.405075,normal
55,normal,56.094044,elevated
59,elevated,58.731434,elevated
53,normal,53.054993,normal
53,normal,52.672184,normal
53,normal,53.888012,normal
41,normal,41.058517,normal
42,normal,43.7604,normal
63,elevated,63.79174,elevated
56,elevated,56.362473,elevated
55,normal,55.597446,elevated
58,elevated,57.368,elevated
29,normal,28.86462,normal
53,normal,52.7984,normal
90,elevated,89.07338,elevated
62,elevated,60.446117,elevated
50,normal,45.31946,normal
58,elevated,58.982178,elevated
40,normal,37.132004,normal
34,normal,34.98992,normal
55,normal,54.094475,normal
48,normal,45.623283,normal
65,elevated,64.59681,elevated
63,elevated,62.1782,elevated
58,elevated,57.22761,elevated
62,elevated,64.18057,elevated
68,elevated,69.39847,elevated
58,elevated,58.23249,elevated
38,normal,37.617264,normal
57,elevated,55.952583,elevated
57,elevated,56.952972,elevated
44,normal,43.3407,normal
52,normal,47.688828,normal
60,elevated,59.126183,elevated
61,elevated,61.499924,elevated
52,normal,50.71894,normal
70,elevated,68.85806,elevated
63,elevated,62.472847,elevated
86,elevated,85.72424,elevated
58,elevated,59.356182,elevated
57,elevated,56.95078,elevated
61,elevated,58.91028,elevated
51,normal,50.690826,normal
58,elevated,56.99776,elevated
47,normal,47.366013,normal
53,normal,52.069202,normal
52,normal,51.821697,normal
57,elevated,55.675636,elevated
55,normal,55.14006,elevated
60,elevated,59.926094,elevated
43,normal,42.22491,normal
59,elevated,58.26455,elevated
66,elevated,66.66308,elevated
65,elevated,65.67355,elevated
37,normal,35.73405,normal
57,elevated,56.243233,elevated
56,elevated,55.449593,elevated
50,normal,50.65342,normal
58,elevated,57.111458,elevated
57,elevated,56.45289,elevated
45,normal,46.400238,normal
51,normal,49.24207,normal
41,normal,43.698273,normal
61,elevated,60.480396,elevated
57,elevated,57.01099,elevated
58,elevated,57.79506,elevated
108,elevated,101.94329,elevated
57,elevated,54.895508,normal
52,normal,51.930984,normal
63,elevated,61.30635,elevated
44,normal,45.166973,normal
57,elevated,57.680466,elevated
56,elevated,56.08887,elevated
55,normal,54.626274,normal
33,normal,34.11437,normal
58,elevated,58.80846,elevated
44,normal,45.16912,normal
55,normal,54.10571,normal
50,normal,50.7121,normal
54,normal,52.703346,normal
58,elevated,58.521614,elevated
56,elevated,56.328705,elevated
61,elevated,62.157074,elevated
42,normal,41.579456,normal
56,elevated,55.5079,elevated
55,normal,54.199238,normal
76,elevated,75.37032,elevated
56,elevated,53.845078,normal
51,normal,48.5447,normal
45,normal,42.871407,normal
53,normal,52.83206,normal
34,normal,32.364407,normal
42,normal,42.11617,normal
32,normal,31.582499,normal
73,elevated,69.456375,elevated
58,elevated,58.93551,elevated
55,normal,55.447216,elevated
71,elevated,71.01484,elevated
62,elevated,63.61082,elevated
54,normal,53.775146,normal
52,normal,50.738358,normal
43,normal,38.951847,normal
49,normal,47.680233,normal
57,elevated,56.544235,elevated
56,elevated,56.38846,elevated
54,normal,52.633926,normal
46,normal,48.756233,normal
54,normal,52.349236,normal
56,elevated,56.694756,elevated
56,elevated,59.12267,elevated
59,elevated,58.457882,elevated
59,elevated,53.736446,normal
49,normal,49.792473,normal
45,normal,42.79784,normal
62,elevated,62.873726,elevated
52,normal,51.9648,normal
58,elevated,59.009712,elevated
51,normal,50.967358,normal
57,elevated,56.65162,elevated
43,normal,40.738853,normal
47,normal,46.411903,normal
67,elevated,66.42828,elevated
60,elevated,60.000023,elevated
30,normal,28.813965,normal
51,normal,50.54935,normal
39,normal,39.603127,normal
66,elevated,65.784096,elevated
59,elevated,59.984173,elevated
51,normal,52.029434,normal
65,elevated,66.09417,elevated
55,normal,55.60851,elevated
44,normal,46.874496,normal
60,elevated,60.876755,elevated
58,elevated,58.14142,elevated
59,elevated,59.43506,elevated
65,elevated,64.11803,elevated
22,normal,22.821135,normal
23,normal,22.744776,normal
52,normal,44.52401,normal
35,normal,34.959892,normal
51,normal,51.700077,normal
55,normal,53.930866,normal
