input_value,input_label,pred_value,pred_label
32,normal,31.1295,normal
54,normal,53.631668,normal
53,normal,53.813,normal
51,normal,51.85457,normal
47,normal,42.926155,normal
57,elevated,57.032047,elevated
58,elevated,57.61194,elevated
52,normal,51.677017,normal
51,normal,50.56038,normal
51,normal,50.996464,normal
59,elevated,58.866673,elevated
53,normal,53.338036,normal
52,normal,51.37133,normal
53,normal,53.826702,normal
32,normal,31.11977,normal
54,normal,53.02121,normal
62,elevated,61.882565,elevated
55,normal,55.792915,elevated
55,normal,55.032497,elevated
56,elevated,55.71688,elevated
35,normal,33.302956,normal
44,normal,43.94842,normal
86,elevated,82.21641,elevated
52,normal,51.624146,normal
48,normal,45.57162,normal
60,elevated,59.828037,elevated
51,normal,50.864265,normal
33,normal,34.456142,normal
58,elevated,56.788437,elevated
51,normal,49.275375,normal
55,normal,53.26973,normal
62,elevated,61.188866,elevated
54,normal,55.041466,elevated
59,elevated,60.567177,elevated
57,elevated,57.53136,elevated
58,elevated,57.402534,elevated
39,normal,40.541557,normal
46,normal,49.585396,normal
55,normal,54.239727,normal
52,normal,51.64738,normal
51,normal,45.772415,normal
55,normal,55.706585,elevated
61,elevated,60.848736,elevated
50,normal,47.030834,normal
68,elevated,67.43163,elevated
63,elevated,62.132034,elevated
81,elevated,79.9442,elevated
54,normal,53.717937,normal
58,elevated,57.971165,elevated
39,normal,36.52586,normal
49,normal,50.728416,normal
59,elevated,57.021572,elevated
50,normal,50.978317,normal
48,normal,48.23661,normal
47,normal,47.213993,normal
55,normal,53.07256,normal
56,elevated,56.214867,elevated
52,normal,51.915142,normal
41,normal,41.923447,normal
58,elevated,58.15901,elevated
64,elevated,64.442116,elevated
59,elevated,57.941063,elevated
40,normal,39.58405,normal
53,normal,52.116405,normal
52,normal,51.36971,normal
53,normal,52.285362,normal
57,elevated,55.093945,elevated
60,elevated,59.197456,elevated
41,normal,40.351944,normal
47,normal,48.907013,normal
47,normal,49.131653,normal
57,elevated,57.556404,elevated
59,elevated,58.2066,elevated
67,elevated,67.17351,elevated
87,elevated,79.790794,elevated
57,elevated,54.079594,normal
35,normal,33.80818,normal
55,normal,53.14604,normal
44,normal,45.850742,normal
55,normal,55.65629,elevated
52,normal,51.404526,normal
57,elevated,56.66414,elevated
26,normal,23.49055,normal
42,normal,44.66155,normal
52,normal,51.33108,normal
58,elevated,55.7355,elevated
50,normal,50.927162,normal
46,normal,46.183205,normal
64,elevated,62.62271,elevated
42,normal,46.333878,normal
62,elevated,62.35661,elevated
44,normal,45.079033,normal
59,elevated,58.69664,elevated
59,elevated,58.123432,elevated
79,elevated,77.6879,elevated
53,normal,52.16124,normal
46,normal,43.721764,normal
42,normal,40.80491,normal
53,normal,53.09416,normal
44,normal,43.406277,normal
51,normal,51.424847,normal
50,normal,44.030125,normal
67,elevated,64.66432,elevated
52,normal,52.81789,normal
54,normal,54.02143,normal
56,elevated,54.103012,normal
38,normal,38.748642,normal
53,normal,53.591793,normal
45,normal,42.134354,normal
40,normal,38.90116,normal
52,normal,51.707,normal
57,elevated,55.954983,elevated
54,normal,54.07154,normal
53,normal,53.37168,normal
43,normal,41.96816,normal
52,normal,51.985718,normal
60,elevated,59.77462,elevated
36,normal,36.092148,normal
58,elevated,57.307297,elevated
50,normal,45.797195,normal
57,elevated,56.41554,elevated
35,normal,36.809715,normal
64,elevated,64.14447,elevated
34,normal,35.848507,normal
53,normal,53.008213,normal
51,normal,50.868713,normal
55,normal,55.515152,elevated
53,normal,52.06962,normal
42,normal,40.944572,normal
72,elevated,73.45418,elevated
57,elevated,57.53971,elevated
31,normal,31.537552,normal
39,normal,39.13937,normal
39,normal,38.20331,normal
66,elevated,65.57486,elevated
53,normal,53.37734,normal
35,normal,37.508385,normal
68,elevated,68.94632,elevated
33,normal,33.84608,normal
52,normal,51.375618,normal
60,elevated,60.572014,elevated
59,elevated,58.920155,elevated
52,normal,52.52218,normal
57,elevated,56.777504,elevated
18,normal,17.863901,normal
40,normal,37.03479,normal
40,normal,37.45581,normal
43,normal,43.716324,normal
57,elevated,57.178738,elevated
53,normal,52.029003,normal
57,elevated,57.19323,elevated
51,normal,42.690083,normal
39,normal,38.181583,normal
36,normal,32.70889,normal
56,elevated,55.14297,elevated
44,normal,44.531174,normal
68,elevated,69.8985,elevated
45,normal,44.91776,normal
52,normal,51.315243,normal
57,elevated,55.703506,elevated
51,normal,51.23498,normal
63,elevated,62.145527,elevated
47,normal,46.265144,normal
51,normal,50.58111,normal
52,normal,51.19279,normal
53,normal,51.685574,normal
72,elevated,74.10637,elevated
31,normal,32.750042,normal
63,elevated,61.562614,elevated
53,normal,51.891747,normal
25,normal,24.145218,normal
29,normal,27.032263,normal
78,elevated,75.38396,elevated
57,elevated,57.7349,elevated
52,normal,52.26117,normal
56,elevated,57.56936,elevated
54,normal,54.017166,normal
57,elevated,57.1403,elevated
49,normal,46.213318,normal
59,elevated,59.9449,elevated
53,normal,52.905285,normal
52,normal,52.258255,normal
24,normal,22.725506,normal
54,normal,53.114685,normal
51,normal,50.027695,normal
55,normal,54.201717,normal
66,elevated,65.33927,elevated
21,normal,18.976318,normal
51,normal,50.86822,normal
54,normal,54.128094,normal
64,elevated,62.68775,elevated
67,elevated,67.37837,elevated
42,normal,39.34135,normal
57,elevated,55.240288,elevated
52,normal,48.08623,normal
67,elevated,63.030914,elevated
45,normal,47.93788,normal
52,normal,52.539288,normal
53,normal,52.24578,normal
52,normal,51.88243,normal
43,normal,43.426117,normal
58,elevated,57.86165,elevated
57,elevated,56.623497,elevated
59,elevated,59.038715,elevated
42,normal,41.967754,normal
52,normal,50.257645,normal
54,normal,55.593082,elevated
53,normal,52.076775,normal
53,normal,52.641396,normal
31,normal,30.575602,normal
70,elevated,69.271355,elevated
41,normal,41.47778,normal
61,elevated,60.85887,elevated
56,elevated,56.055096,elevated
44,normal,43.02827,normal
41,normal,41.715145,normal
49,normal,49.076004,normal
68,elevated,69.28526,elevated
58,elevated,57.114082,elevated
54,normal,54.748302,normal
39,normal,37.786987,normal
42,normal,39.885586,normal
54,normal,54.612976,normal
59,elevated,60.80331,elevated
52,normal,52.324398,normal
60,elevated,60.76786,elevated
58,elevated,57.12996,elevated
48,normal,47.050343,normal
42,normal,42.759254,normal
47,normal,50.114147,normal
44,normal,45.18847,normal
61,elevated,60.717117,elevated
53,normal,52.127792,normal
46,normal,43.852085,normal
51,normal,52.68261,normal
51,normal,51.95727,normal
62,elevated,60.959167,elevated
47,normal,47.04712,normal
38,normal,34.162506,normal
39,normal,38.6469,normal
42,normal,39.14959,normal
43,normal,42.228542,normal
55,normal,55.04191,elevated
32,normal,31.701944,normal
61,elevated,62.771206,elevated
52,normal,53.57368,normal
31,normal,29.388803,normal
69,elevated,68.81426,elevated
42,normal,39.935345,normal
40,normal,40.704826,normal
62,elevated,61.207756,elevated
54,normal,52.428032,normal
55,normal,54.76518,normal
59,elevated,57.50834,elevated
53,normal,52.86234,normal
63,elevated,60.47451,elevated
37,normal,39.549473,normal
70,elevated,68.85437,elevated
39,normal,36.712074,normal
52,normal,51.04879,normal
61,elevated,63.486374,elevated
65,elevated,64.98936,elevated
54,normal,54.218525,normal
67,elevated,66.89622,elevated
52,normal,52.0346,normal
56,elevated,56.490444,elevated
63,elevated,62.40058,elevated
44,normal,44.029953,normal
46,normal,48.785664,normal
83,elevated,83.50825,elevated
59,elevated,60.386818,elevated
44,normal,44.970425,normal
59,elevated,57.497223,elevated
52,normal,51.07962,normal
50,normal,51.049034,normal
54,normal,53.676674,normal
51,normal,51.861942,normal
61,elevated,61.594467,elevated
55,normal,54.97282,normal
63,elevated,63.534584,elevated
112,elevated,109.824295,elevated
48,normal,48.20979,normal
68,elevated,67.545166,elevated
25,normal,23.89538,normal
24,normal,25.189726,normal
51,normal,43.213512,normal
60,elevated,61.32616,elevated
51,normal,50.54459,normal
44,normal,46.434074,normal
54,normal,52.632072,normal
53,normal,53.95628,normal
69,elevated,69.59061,elevated
52,normal,53.112373,normal
52,normal,50.186157,normal
51,normal,51.74515,normal
52,normal,52.41635,normal
40,normal,39.606686,normal
53,normal,53.877052,normal
58,elevated,57.696457,elevated
29,normal,27.790827,normal
38,normal,39.452377,normal
52,normal,51.884216,normal
36,normal,33.253185,normal
56,elevated,56.78955,elevated
39,normal,40.39092,normal
60,elevated,58.669624,elevated
47,normal,46.609364,normal
51,normal,51.687798,normal
54,normal,55.725574,elevated
41,normal,40.364384,normal
54,normal,52.21467,normal
53,normal,52.378704,normal
57,elevated,55.055622,elevated
50,normal,51.07135,normal
49,normal,53.042564,normal
52,normal,51.81936,normal
53,normal,52.593533,normal
59,elevated,56.408794,elevated
45,normal,41.629833,normal
52,normal,49.33547,normal
53,normal,55.307327,elevated
59,elevated,60.606796,elevated
56,elevated,54.701523,normal
52,normal,52.862457,normal
53,normal,54.856876,normal
53,normal,53.871643,normal
55,normal,54.43862,normal
58,elevated,58.055874,elevated
56,elevated,55.174423,elevated
34,normal,34.849804,normal
31,normal,31.777506,normal
43,normal,46.23691,normal
46,normal,46.365967,normal
62,elevated,61.03615,elevated
60,elevated,58.898754,elevated
43,normal,38.832375,normal
50,normal,50.230904,normal
52,normal,50.07714,normal
53,normal,53.008648,normal
62,elevated,63.21765,elevated
51,normal,51.5349,normal
57,elevated,58.33708,elevated
46,normal,44.92705,normal
35,normal,33.622337,normal
47,normal,45.939068,normal
56,elevated,57.816322,elevated
57,elevated,56.29409,elevated
59,elevated,59.282948,elevated
56,elevated,54.618866,normal
42,normal,39.130363,normal
34,normal,30.228275,normal
33,normal,36.31114,normal
55,normal,56.109146,elevated
34,normal,38.073048,normal
60,elevated,59.824093,elevated
55,normal,54.30721,normal
52,normal,52.033623,normal
52,normal,53.84171,normal
51,normal,52.1855,normal
50,normal,51.861004,normal
56,elevated,54.585167,normal
46,normal,41.4062,normal
48,normal,50.33185,normal
65,elevated,63.44532,elevated
72,elevated,71.107704,elevated
57,elevated,58.374104,elevated
41,normal,41.00415,normal
58,elevated,57.853203,elevated
36,normal,34.321163,normal
54,normal,53.363255,normal
62,elevated,60.935204,elevated
32,normal,34.11765,normal
56,elevated,56.632103,elevated
60,elevated,61.36704,elevated
61,elevated,60.959312,elevated
42,normal,41.320404,normal
54,normal,54.526188,normal
67,elevated,67.4455,elevated
77,elevated,76.234245,elevated
43,normal,41.5998,normal
44,normal,41.166767,normal
65,elevated,62.458923,elevated
31,normal,32.45919,normal
63,elevated,63.213028,elevated
53,normal,54.15399,normal
54,normal,53.80916,normal
59,elevated,59.255264,elevated
55,normal,54.007626,normal
46,normal,48.736473,normal
53,normal,52.51203,normal
41,normal,40.134575,normal
57,elevated,55.940582,elevated
41,normal,44.48567,normal
58,elevated,56.316162,elevated
52,normal,51.721878,normal
57,elevated,55.83391,elevated
55,normal,55.45612,elevated
53,normal,52.183838,normal
58,elevated,56.607227,elevated
41,normal,40.734566,normal
75,elevated,75.03679,elevated
53,normal,52.03036,normal
56,elevated,54.26874,normal
57,elevated,55.767902,elevated
59,elevated,59.906628,elevated
54,normal,53.048954,normal
58,elevated,58.386154,elevated
55,normal,54.93268,normal
44,normal,41.450108,normal
66,elevated,63.02075,elevated
62,elevated,62.020985,elevated
63,elevated,64.18764,elevated
61,elevated,62.541447,elevated
59,elevated,61.03525,elevated
47,normal,47.499912,normal
37,normal,39.05203,normal
51,normal,50.487488,normal
46,normal,44.6422,normal
53,normal,53.319435,normal
53,normal,52.746323,normal
66,elevated,66.238655,elevated
45,normal,45.93357,normal
39,normal,37.220825,normal
49,normal,51.169735,normal
56,elevated,55.810123,elevated
32,normal,31.782122,normal
38,normal,33.829144,normal
47,normal,47.720707,normal
50,normal,44.359276,normal
57,elevated,57.412354,elevated
52,normal,51.704826,normal
38,normal,37.33644,normal
57,elevated,56.748436,elevated
62,elevated,61.647552,elevated
49,normal,46.67619,normal
42,normal,41.511086,normal
52,normal,51.169025,normal
30,normal,31.180155,normal
52,normal,51.72993,normal
55,normal,55.612736,elevated
55,normal,55.262875,elevated
57,elevated,56.791092,elevated
50,normal,50.577164,normal
82,elevated,89.18777,elevated
52,normal,52.911316,normal
45,normal,45.359142,normal
61,elevated,59.272953,elevated
58,elevated,57.887352,elevated
58,elevated,57.22393,elevated
32,normal,29.084526,normal
52,normal,53.51628,normal
63,elevated,62.41711,elevated
56,elevated,54.54245,normal
52,normal,51.8488,normal
48,normal,48.83957,normal
43,normal,50.30488,normal
39,normal,35.675144,normal
52,normal,52.40021,normal
48,normal,45.839516,normal
59,elevated,61.67722,elevated
61,elevated,58.484932,elevated
52,normal,51.898476,normal
49,normal,44.236786,normal
45,normal,43.422176,normal
57,elevated,56.6797,elevated
67,elevated,66.51746,elevated
53,normal,52.28044,normal
34,normal,31.027956,normal
53,normal,53.07684,normal
56,elevated,56.138565,elevated
49,normal,51.26743,normal
39,normal,35.529564,normal
48,normal,48.002342,normal
48,normal,47.569607,normal
52,normal,52.579548,normal
55,normal,54.57447,normal
51,normal,50.165146,normal
49,normal,51.45698,normal
35,normal,38.06873,normal
52,normal,52.13677,normal
52,normal,50.94537,normal
50,normal,47.319065,normal
61,elevated,63.614918,elevated
53,normal,53.14786,normal
71,elevated,70.46078,elevated
48,normal,44.73503,normal
50,normal,48.62245,normal
57,elevated,57.289623,elevated
50,normal,47.38133,normal
51,normal,47.348682,normal
63,elevated,63.0125,elevated
63,elevated,63.106808,elevated
36,normal,36.751945,normal
48,normal,48.702072,normal
54,normal,53.848293,normal
43,normal,43.54467,normal
48,normal,49.42139,normal
45,normal,42.00413,normal
55,normal,53.25376,normal
62,elevated,60.52594,elevated
50,normal,48.81921,normal
51,normal,51.718117,normal
51,normal,50.809566,normal
62,elevated,61.774094,elevated
58,elevated,57.177002,elevated
52,normal,53.47551,normal
49,normal,51.681053,normal
56,elevated,55.272858,elevated
48,normal,49.842674,normal
47,normal,47.726368,normal
60,elevated,57.640144,elevated
43,normal,38.805935,normal
65,elevated,64.027275,elevated
61,elevated,61.711964,elevated
54,normal,52.77215,normal
54,normal,54.265694,normal
69,elevated,69.54243,elevated
42,normal,46.76132,normal
44,normal,47.57775,normal
38,normal,36.806404,normal
58,elevated,59.18012,elevated
47,normal,45.003403,normal
55,normal,54.302402,normal
87,elevated,88.13321,elevated
61,elevated,59.136524,elevated
64,elevated,64.05563,elevated
56,elevated,55.007343,elevated
57,elevated,57.380535,elevated
55,normal,55.81514,elevated
50,normal,50.798206,normal
56,elevated,56.04261,elevated
53,normal,52.71001,normal
45,normal,44.29888,normal
58,elevated,59.018997,elevated
49,normal,46.78156,normal
51,normal,50.883614,normal
33,normal,32.53378,normal
54,normal,53.744396,normal
61,elevated,59.918575,elevated
54,normal,52.01837,normal
58,elevated,58.622948,elevated
38,normal,38.21566,normal
52,normal,52.133274,normal
33,normal,35.8435,normal
53,normal,51.889465,normal
42,normal,42.183556,normal
29,normal,26.94984,normal
54,normal,54.449047,normal
57,elevated,56.956264,elevated
53,normal,54.245087,normal
52,normal,51.165955,normal
57,elevated,58.221043,elevated
55,normal,52.807686,normal
56,elevated,53.583096,normal
53,normal,52.316383,normal
39,normal,37.387173,normal
59,elevated,59.252964,elevated
52,normal,53.57334,normal
48,normal,49.054405,normal
57,elevated,57.155556,elevated
23,normal,24.768051,normal
58,elevated,57.012566,elevated
38,normal,37.730076,normal
26,normal,24.791492,normal
45,normal,44.13232,normal
74,elevated,75.99615,elevated
49,normal,52.45818,normal
54,normal,53.866035,normal
52,normal,52.489693,normal
48,normal,52.51352,normal
55,normal,52.220844,normal
51,normal,51.130436,normal
58,elevated,58.16243,elevated
53,normal,49.772793,normal
53,normal,52.379887,normal
56,elevated,54.010296,normal
58,elevated,56.995358,elevated
45,normal,44.284573,normal
63,elevated,62.7503,elevated
61,elevated,66.06923,elevated
57,elevated,56.058067,elevated
39,normal,36.420414,normal
61,elevated,61.19009,elevated
53,normal,44.485992,normal
48,normal,50.111607,normal
66,elevated,65.09731,elevated
50,normal,50.26163,normal
42,normal,41.750217,normal
38,normal,37.02753,normal
61,elevated,60.378544,elevated
55,normal,53.100048,normal
56,elevated,53.81534,normal
53,normal,52.019768,normal
51,normal,51.526245,normal
63,elevated,62.47588,elevated
55,normal,53.834255,normal
33,normal,29.604689,normal
56,elevated,57.100433,elevated
57,elevated,56.050617,elevated
74,elevated,77.693,elevated
62,elevated,61.470444,elevated
50,normal,44.856148,normal
65,elevated,65.64908,elevated
70,elevated,71.556755,elevated
53,normal,51.271114,normal
55,normal,53.344105,normal
54,normal,53.440388,normal
56,elevated,55.930153,elevated
52,normal,50.369347,normal
57,elevated,57.69091,elevated
52,normal,48.194294,normal
55,normal,52.26655,normal
46,normal,44.685497,normal
56,elevated,57.535233,elevated
56,elevated,57.099724,elevated
43,normal,41.327427,normal
61,elevated,59.529617,elevated
54,normal,54.018223,normal
53,normal,52.46296,normal
41,normal,37.602318,normal
40,normal,52.683784,normal
52,normal,51.264034,normal
55,normal,56.50827,elevated
51,normal,51.625572,normal
54,normal,53.76937,normal
60,elevated,60.88894,elevated
41,normal,37.17181,normal
46,normal,47.294056,normal
49,normal,49.903164,normal
45,normal,41.738712,normal
52,normal,51.27137,normal
78,elevated,76.044846,elevated
35,normal,34.611824,normal
52,normal,52.885754,normal
52,normal,51.511875,normal
45,normal,49.854134,normal
50,normal,44.51832,normal
59,elevated,57.31286,elevated
61,elevated,60.581573,elevated
52,normal,49.617325,normal
57,elevated,58.114365,elevated
56,elevated,53.526985,normal
44,normal,45.952435,normal
56,elevated,56.825195,elevated
56,elevated,55.014153,elevated
47,normal,44.336555,normal
57,elevated,57.793037,elevated
44,normal,49.798462,normal
54,normal,53.07236,normal
52,normal,51.532898,normal
56,elevated,55.219036,elevated
52,normal,50.06751,normal
52,normal,50.24412,normal
46,normal,46.50346,normal
61,elevated,60.74805,elevated
55,normal,52.971176,normal
45,normal,44.527622,normal
62,elevated,63.11265,elevated
48,normal,46.881474,normal
66,elevated,65.3926,elevated
38,normal,43.03611,normal
53,normal,51.994884,normal
54,normal,53.450073,normal
57,elevated,54.40121,normal
52,normal,51.859917,normal
69,elevated,70.66303,elevated
52,normal,50.847313,normal
55,normal,53.91338,normal
63,elevated,60.71096,elevated
52,normal,52.526062,normal
41,normal,41.52227,normal
58,elevated,56.019398,elevated
37,normal,37.27895,normal
55,normal,54.354992,normal
57,elevated,57.165142,elevated
71,elevated,71.8646,elevated
51,normal,50.183697,normal
55,normal,56.538486,elevated
56,elevated,55.215004,elevated
49,normal,51.24273,normal
56,elevated,52.90048,normal
56,elevated,56.693577,elevated
63,elevated,63.23468,elevated
43,normal,42.516075,normal
52,normal,51.626713,normal
41,normal,43.742832,normal
59,elevated,57.930378,elevated
54,normal,53.829994,normal
66,elevated,68.59628,elevated
55,normal,53.78617,normal
91,elevated,90.811714,elevated
54,normal,54.00609,normal
43,normal,30.208239,normal
53,normal,51.405582,normal
55,normal,55.591217,elevated
57,elevated,55.789673,elevated
92,elevated,89.322624,elevated
54,normal,52.817825,normal
52,normal,49.838245,normal
45,normal,50.995293,normal
55,normal,54.16206,normal
61,elevated,61.014915,elevated
55,normal,56.754036,elevated
39,normal,39.786316,normal
58,elevated,58.146202,elevated
55,normal,54.538765,normal
52,normal,53.121326,normal
83,elevated,82.11298,elevated
59,elevated,58.439095,elevated
67,elevated,67.353874,elevated
53,normal,52.335587,normal
52,normal,51.57331,normal
92,elevated,88.711555,elevated
45,normal,49.802902,normal
56,elevated,55.927658,elevated
