input_value,input_label,pred_value,pred_label
46,normal,51.139015,normal
55,normal,57.43666,elevated
47,normal,50.24004,normal
55,normal,55.724194,elevated
58,elevated,59.93673,elevated
44,normal,48.027115,normal
49,normal,47.97848,normal
50,normal,51.786625,normal
47,normal,49.385204,normal
62,elevated,63.03791,elevated
45,normal,48.760635,normal
33,normal,33.437782,normal
49,normal,49.473595,normal
41,normal,41.864407,normal
49,normal,51.393,normal
60,elevated,61.554955,elevated
52,normal,53.274647,normal
44,normal,38.385704,normal
55,normal,56.577972,elevated
46,normal,51.471554,normal
54,normal,55.6457,elevated
81,elevated,79.928116,elevated
58,elevated,56.89947,elevated
40,normal,42.446842,normal
58,elevated,60.73673,elevated
36,normal,37.12712,normal
26,normal,34.80458,normal
60,elevated,60.537323,elevated
46,normal,46.242943,normal
52,normal,53.09976,normal
57,elevated,57.834465,elevated
56,elevated,56.46702,elevated
52,normal,52.992554,normal
64,elevated,65.18521,elevated
58,elevated,59.131737,elevated
24,normal,26.570732,normal
56,elevated,57.36907,elevated
58,elevated,57.363453,elevated
47,normal,48.64849,normal
35,normal,33.271996,normal
43,normal,47.11345,normal
53,normal,53.078594,normal
52,normal,52.222534,normal
70,elevated,69.97389,elevated
62,elevated,61.857586,elevated
78,elevated,78.88325,elevated
58,elevated,59.467003,elevated
55,normal,56.83554,elevated
42,normal,37.58864,normal
25,normal,26.734816,normal
54,normal,54.891273,normal
52,normal,54.184494,normal
37,normal,38.508976,normal
40,normal,41.58922,normal
56,elevated,56.266075,elevated
59,elevated,59.665203,elevated
51,normal,50.471687,normal
34,normal,36.349674,normal
55,normal,55.93263,elevated
63,elevated,64.67391,elevated
68,elevated,68.681335,elevated
30,normal,33.816483,normal
58,elevated,57.080643,elevated
54,normal,54.422558,normal
53,normal,55.29477,elevated
61,elevated,60.95856,elevated
59,elevated,59.56051,elevated
49,normal,52.450626,normal
34,normal,35.796555,normal
36,normal,38.272644,normal
56,elevated,55.788673,elevated
59,elevated,59.363895,elevated
64,elevated,64.45946,elevated
118,elevated,115.436844,elevated
42,normal,39.481575,normal
37,normal,37.250076,normal
57,elevated,56.35096,elevated
53,normal,53.559776,normal
44,normal,51.00099,normal
54,normal,56.314266,elevated
53,normal,54.110653,normal
29,normal,29.071478,normal
56,elevated,59.89606,elevated
51,normal,51.47066,normal
55,normal,54.030174,normal
50,normal,48.891907,normal
40,normal,42.62963,normal
57,elevated,59.4338,elevated
41,normal,46.566036,normal
61,elevated,62.2203,elevated
54,normal,55.962353,elevated
56,elevated,56.944683,elevated
52,normal,52.63531,normal
78,elevated,78.32435,elevated
56,elevated,55.076935,elevated
28,normal,27.462786,normal
32,normal,35.304157,normal
50,normal,51.466827,normal
51,normal,52.303288,normal
48,normal,48.02635,normal
53,normal,52.86514,normal
57,elevated,55.82368,elevated
47,normal,43.70616,normal
55,normal,55.81985,elevated
68,elevated,69.756004,elevated
44,normal,47.989784,normal
54,normal,55.31504,elevated
52,normal,51.852406,normal
45,normal,45.05738,normal
53,normal,54.46954,normal
54,normal,54.366047,normal
52,normal,52.866047,normal
