input_value,input_label,pred_value,pred_label
65,elevated,63.228786,elevated
52,normal,53.703762,normal
37,normal,38.98118,normal
58,elevated,58.64243,elevated
59,elevated,61.602165,elevated
49,normal,51.804813,normal
55,normal,55.778545,elevated
61,elevated,62.023563,elevated
58,elevated,58.144062,elevated
54,normal,54.473747,normal
47,normal,48.04002,normal
53,normal,54.060318,normal
65,elevated,64.74843,elevated
53,normal,54.399853,normal
53,normal,53.218094,normal
53,normal,55.135838,elevated
30,normal,31.503538,normal
54,normal,53.7883,normal
67,elevated,67.90944,elevated
54,normal,55.52973,elevated
52,normal,50.848667,normal
57,elevated,58.490635,elevated
48,normal,51.764755,normal
52,normal,52.77088,normal
96,elevated,95.991234,elevated
63,elevated,63.284992,elevated
55,normal,55.16765,elevated
61,elevated,61.662823,elevated
53,normal,52.834465,normal
31,normal,35.615456,normal
61,elevated,60.754265,elevated
51,normal,51.306545,normal
58,elevated,57.269775,elevated
60,elevated,61.196167,elevated
57,elevated,59.086784,elevated
62,elevated,64.73316,elevated
60,elevated,61.947468,elevated
58,elevated,59.41961,elevated
33,normal,34.392433,normal
48,normal,52.144794,normal
61,elevated,60.561554,elevated
52,normal,53.355854,normal
40,normal,41.407406,normal
56,elevated,57.937225,elevated
58,elevated,59.024406,elevated
52,normal,53.61742,normal
65,elevated,64.94789,elevated
62,elevated,60.922283,elevated
88,elevated,87.11482,elevated
54,normal,53.10906,normal
58,elevated,59.129322,elevated
41,normal,39.544327,normal
40,normal,38.795715,normal
59,elevated,59.356304,elevated
54,normal,54.36193,normal
52,normal,52.747704,normal
53,normal,52.910778,normal
57,elevated,56.459614,elevated
57,elevated,58.108124,elevated
51,normal,52.745003,normal
47,normal,47.445793,normal
56,elevated,56.91599,elevated
68,elevated,69.40311,elevated
57,elevated,56.541508,elevated
49,normal,51.365765,normal
56,elevated,56.1877,elevated
56,elevated,56.69418,elevated
56,elevated,57.108337,elevated
61,elevated,61.813454,elevated
60,elevated,60.060757,elevated
51,normal,52.891514,normal
33,normal,34.127174,normal
47,normal,50.261707,normal
57,elevated,56.533417,elevated
59,elevated,59.696968,elevated
67,elevated,67.996376,elevated
98,elevated,96.15039,elevated
55,normal,54.77291,normal
52,normal,53.353592,normal
58,elevated,57.928696,elevated
36,normal,37.45594,normal
57,elevated,58.760986,elevated
56,elevated,56.57949,elevated
57,elevated,58.113346,elevated
33,normal,35.454407,normal
52,normal,54.767975,normal
52,normal,54.670734,normal
58,elevated,56.897457,elevated
50,normal,51.005836,normal
54,normal,54.029015,normal
64,elevated,63.658463,elevated
47,normal,48.31476,normal
66,elevated,66.52396,elevated
56,elevated,57.040787,elevated
59,elevated,59.476955,elevated
60,elevated,59.179234,elevated
85,elevated,84.326355,elevated
56,elevated,56.631275,elevated
47,normal,43.71521,normal
45,normal,44.15425,normal
42,normal,42.514732,normal
51,normal,52.198837,normal
51,normal,52.39157,normal
53,normal,52.521923,normal
63,elevated,61.990414,elevated
58,elevated,59.494156,elevated
52,normal,53.87039,normal
58,elevated,58.697144,elevated
41,normal,46.20367,normal
56,elevated,56.862087,elevated
52,normal,51.896446,normal
45,normal,45.12623,normal
53,normal,53.98187,normal
58,elevated,57.952858,elevated
56,elevated,56.911327,elevated
57,elevated,57.10278,elevated
51,normal,52.0286,normal
54,normal,55.674095,elevated
63,elevated,63.922916,elevated
40,normal,41.841476,normal
59,elevated,60.2724,elevated
54,normal,52.882927,normal
57,elevated,57.626778,elevated
45,normal,43.894814,normal
65,elevated,66.47418,elevated
53,normal,54.50203,normal
55,normal,55.944386,elevated
35,normal,32.794632,normal
59,elevated,60.06986,elevated
54,normal,54.1912,normal
47,normal,47.366386,normal
74,elevated,77.13608,elevated
60,elevated,61.046005,elevated
51,normal,52.4916,normal
43,normal,43.192455,normal
28,normal,30.797386,normal
58,elevated,58.850807,elevated
57,elevated,59.596584,elevated
42,normal,46.056393,normal
71,elevated,72.50693,elevated
37,normal,40.19735,normal
52,normal,53.367573,normal
54,normal,54.810818,normal
64,elevated,63.650444,elevated
54,normal,55.673885,elevated
62,elevated,62.993225,elevated
28,normal,28.470146,normal
41,normal,39.050507,normal
52,normal,48.89412,normal
46,normal,46.841732,normal
57,elevated,59.051445,elevated
57,elevated,56.929264,elevated
59,elevated,59.754276,elevated
44,normal,40.57103,normal
39,normal,39.661022,normal
41,normal,39.4542,normal
52,normal,52.610584,normal
53,normal,52.660786,normal
68,elevated,69.78247,elevated
51,normal,50.19756,normal
52,normal,53.381355,normal
62,elevated,62.208363,elevated
54,normal,54.805843,normal
68,elevated,68.94025,elevated
45,normal,46.39996,normal
54,normal,54.590168,normal
53,normal,54.228413,normal
54,normal,55.37666,elevated
73,elevated,75.14321,elevated
26,normal,28.021568,normal
66,elevated,66.01006,elevated
54,normal,55.643158,elevated
23,normal,25.15792,normal
28,normal,30.459448,normal
88,elevated,87.16181,elevated
62,elevated,62.64464,elevated
54,normal,54.725193,normal
59,elevated,63.7224,elevated
43,normal,45.378304,normal
59,elevated,59.64365,elevated
53,normal,52.931973,normal
57,elevated,58.249878,elevated
55,normal,56.560623,elevated
55,normal,57.839527,elevated
29,normal,30.359858,normal
56,elevated,56.58205,elevated
52,normal,51.560226,normal
56,elevated,57.059147,elevated
69,elevated,67.1983,elevated
26,normal,29.534796,normal
54,normal,53.675026,normal
53,normal,54.70504,normal
64,elevated,63.66419,elevated
63,elevated,66.70406,elevated
48,normal,47.151123,normal
58,elevated,57.952175,elevated
52,normal,49.810726,normal
71,elevated,68.50494,elevated
57,elevated,57.853,elevated
49,normal,52.459934,normal
54,normal,55.431213,elevated
34,normal,34.179653,normal
46,normal,46.340305,normal
64,elevated,63.14776,elevated
57,elevated,58.121128,elevated
58,elevated,59.103683,elevated
44,normal,44.878895,normal
54,normal,54.773926,normal
56,elevated,58.87796,elevated
52,normal,52.196644,normal
53,normal,55.533276,elevated
36,normal,36.52473,normal
72,elevated,71.82279,elevated
40,normal,45.703163,normal
65,elevated,63.41475,elevated
56,elevated,57.854454,elevated
52,normal,53.100918,normal
53,normal,53.908253,normal
52,normal,52.253326,normal
61,elevated,62.17245,elevated
61,elevated,61.96871,elevated
59,elevated,60.609566,elevated
48,normal,48.22886,normal
42,normal,41.633175,normal
53,normal,52.736572,normal
59,elevated,61.08006,elevated
48,normal,47.65672,normal
60,elevated,61.59137,elevated
46,normal,48.142303,normal
51,normal,53.695904,normal
46,normal,49.77266,normal
52,normal,53.297512,normal
52,normal,53.219482,normal
66,elevated,67.09003,elevated
56,elevated,56.727093,elevated
34,normal,36.01438,normal
56,elevated,58.876984,elevated
54,normal,55.444855,elevated
66,elevated,64.523155,elevated
49,normal,48.692585,normal
38,normal,36.477497,normal
40,normal,39.964508,normal
45,normal,45.500217,normal
32,normal,31.945784,normal
56,elevated,56.549736,elevated
46,normal,49.190025,normal
67,elevated,68.71237,elevated
53,normal,52.822372,normal
35,normal,36.015,normal
69,elevated,69.68634,elevated
49,normal,48.362244,normal
49,normal,52.710266,normal
64,elevated,62.442055,elevated
54,normal,57.610344,elevated
56,elevated,56.168808,elevated
60,elevated,59.365704,elevated
54,normal,56.130642,elevated
55,normal,55.335445,elevated
45,normal,46.771385,normal
72,elevated,72.67056,elevated
39,normal,38.42203,normal
57,elevated,57.622734,elevated
53,normal,57.08065,elevated
59,elevated,57.92579,elevated
55,normal,55.689007,elevated
76,elevated,76.25702,elevated
46,normal,47.62119,normal
59,elevated,62.455395,elevated
67,elevated,67.695175,elevated
46,normal,46.221237,normal
52,normal,53.282867,normal
85,elevated,89.588486,elevated
64,elevated,65.61257,elevated
44,normal,46.240223,normal
61,elevated,60.219185,elevated
47,normal,46.086514,normal
50,normal,52.38427,normal
55,normal,55.37262,elevated
30,normal,36.20111,normal
63,elevated,64.861984,elevated
55,normal,55.89598,elevated
67,elevated,67.949326,elevated
128,elevated,124.98421,elevated
54,normal,56.522224,elevated
72,elevated,71.722694,elevated
32,normal,32.73249,normal
35,normal,37.692738,normal
53,normal,49.11601,normal
66,elevated,69.046524,elevated
53,normal,53.79374,normal
44,normal,47.61646,normal
56,elevated,56.948475,elevated
58,elevated,60.926765,elevated
70,elevated,69.68652,elevated
52,normal,54.001915,normal
55,normal,54.865124,normal
46,normal,49.1773,normal
48,normal,50.614574,normal
45,normal,46.710293,normal
56,elevated,56.501995,elevated
58,elevated,58.61616,elevated
42,normal,42.455082,normal
39,normal,40.806587,normal
53,normal,54.4268,normal
37,normal,37.838585,normal
56,elevated,57.998524,elevated
41,normal,43.863106,normal
60,elevated,59.735657,elevated
48,normal,48.105488,normal
55,normal,56.59656,elevated
38,normal,41.70682,normal
51,normal,52.604248,normal
54,normal,54.48198,normal
51,normal,52.244896,normal
57,elevated,57.3617,elevated
53,normal,55.982986,elevated
56,elevated,58.648952,elevated
53,normal,53.96878,normal
55,normal,56.16833,elevated
61,elevated,59.14849,elevated
55,normal,56.72694,elevated
52,normal,52.612812,normal
48,normal,47.62815,normal
65,elevated,65.84727,elevated
50,normal,47.390556,normal
48,normal,50.3412,normal
58,elevated,60.389256,elevated
53,normal,55.435795,elevated
58,elevated,59.319893,elevated
61,elevated,62.837555,elevated
60,elevated,60.54593,elevated
34,normal,36.29998,normal
42,normal,44.569626,normal
49,normal,53.1016,normal
48,normal,48.06823,normal
66,elevated,66.10487,elevated
60,elevated,60.311604,elevated
51,normal,50.739067,normal
52,normal,52.708286,normal
55,normal,55.16184,elevated
55,normal,55.761894,elevated
68,elevated,68.83258,elevated
55,normal,56.406605,elevated
54,normal,54.926826,normal
51,normal,51.928467,normal
38,normal,39.739147,normal
53,normal,53.932076,normal
60,elevated,61.175117,elevated
58,elevated,57.02081,elevated
59,elevated,60.12586,elevated
57,elevated,58.03622,elevated
33,normal,33.31041,normal
29,normal,28.48035,normal
41,normal,43.760983,normal
59,elevated,58.958538,elevated
40,normal,41.982655,normal
56,elevated,57.19112,elevated
58,elevated,59.00862,elevated
50,normal,50.788895,normal
56,elevated,58.186787,elevated
52,normal,53.408356,normal
55,normal,57.204857,elevated
52,normal,52.862045,normal
55,normal,54.898865,normal
56,elevated,56.78039,elevated
63,elevated,63.451157,elevated
76,elevated,76.21905,elevated
57,elevated,59.254692,elevated
51,normal,52.001366,normal
59,elevated,58.449615,elevated
38,normal,39.762535,normal
54,normal,54.71312,normal
65,elevated,65.32832,elevated
33,normal,34.86116,normal
51,normal,51.908257,normal
64,elevated,64.910995,elevated
65,elevated,65.64319,elevated
49,normal,52.27984,normal
60,elevated,62.046276,elevated
67,elevated,68.13172,elevated
62,elevated,63.914665,elevated
49,normal,48.683853,normal
48,normal,48.200108,normal
66,elevated,65.45132,elevated
51,normal,52.957977,normal
59,elevated,61.99832,elevated
58,elevated,58.062057,elevated
55,normal,56.006367,elevated
62,elevated,61.168354,elevated
57,elevated,56.047493,elevated
51,normal,52.975018,normal
54,normal,54.605415,normal
51,normal,51.02726,normal
56,elevated,56.3236,elevated
48,normal,52.175827,normal
59,elevated,58.334785,elevated
53,normal,54.15853,normal
60,elevated,61.034523,elevated
57,elevated,57.481354,elevated
38,normal,38.71098,normal
63,elevated,61.288074,elevated
39,normal,43.031162,normal
76,elevated,75.815445,elevated
53,normal,53.490246,normal
56,elevated,57.512115,elevated
57,elevated,57.46634,elevated
55,normal,56.4908,elevated
50,normal,48.802914,normal
61,elevated,62.024567,elevated
60,elevated,62.387505,elevated
56,elevated,55.84542,elevated
62,elevated,61.92899,elevated
69,elevated,69.71115,elevated
57,elevated,57.887505,elevated
62,elevated,64.01278,elevated
67,elevated,67.46323,elevated
53,normal,53.542084,normal
36,normal,37.24176,normal
36,normal,33.964535,normal
53,normal,53.997967,normal
54,normal,54.891136,normal
55,normal,56.657486,elevated
72,elevated,72.726204,elevated
46,normal,48.325207,normal
44,normal,43.60041,normal
43,normal,47.919815,normal
47,normal,50.954277,normal
45,normal,46.79882,normal
38,normal,36.47916,normal
37,normal,40.301968,normal
53,normal,52.771534,normal
47,normal,52.165848,normal
47,normal,48.784054,normal
42,normal,41.36993,normal
59,elevated,60.097176,elevated
55,normal,56.41845,elevated
52,normal,52.880203,normal
53,normal,51.44377,normal
55,normal,54.802986,normal
45,normal,47.347313,normal
53,normal,53.93793,normal
52,normal,52.51898,normal
40,normal,42.2791,normal
59,elevated,59.372345,elevated
54,normal,55.701336,elevated
90,elevated,97.54581,elevated
52,normal,54.201836,normal
52,normal,53.27131,normal
55,normal,55.582253,elevated
64,elevated,64.518135,elevated
62,elevated,62.639687,elevated
44,normal,46.70211,normal
55,normal,56.98142,elevated
67,elevated,66.63375,elevated
56,elevated,55.616013,elevated
46,normal,48.472355,normal
56,elevated,56.89028,elevated
44,normal,45.30442,normal
40,normal,40.289257,normal
53,normal,54.85227,normal
52,normal,52.95629,normal
65,elevated,67.00299,elevated
53,normal,52.887512,normal
56,elevated,57.98678,elevated
28,normal,30.621336,normal
52,normal,53.94879,normal
55,normal,55.76318,elevated
67,elevated,67.02383,elevated
56,elevated,56.186043,elevated
39,normal,42.14245,normal
55,normal,56.574646,elevated
62,elevated,64.084656,elevated
63,elevated,64.28633,elevated
40,normal,39.978947,normal
54,normal,55.203247,elevated
54,normal,54.501793,normal
56,elevated,57.878464,elevated
55,normal,55.64119,elevated
50,normal,52.34174,normal
49,normal,52.723328,normal
38,normal,41.106113,normal
48,normal,48.21047,normal
52,normal,52.650597,normal
52,normal,49.506756,normal
75,elevated,75.82987,elevated
40,normal,45.070457,normal
72,elevated,73.34148,elevated
48,normal,46.143215,normal
52,normal,51.62573,normal
57,elevated,58.55918,elevated
54,normal,54.939766,normal
54,normal,54.695816,normal
58,elevated,58.952763,elevated
65,elevated,65.5627,elevated
30,normal,34.198547,normal
37,normal,42.053783,normal
49,normal,51.83488,normal
30,normal,31.923195,normal
49,normal,53.479126,normal
52,normal,52.670303,normal
41,normal,40.37251,normal
62,elevated,63.819145,elevated
53,normal,53.293915,normal
48,normal,47.17987,normal
53,normal,54.02986,normal
69,elevated,66.42442,elevated
60,elevated,60.897682,elevated
53,normal,54.773033,normal
52,normal,52.94315,normal
53,normal,53.666878,normal
48,normal,50.950367,normal
52,normal,51.417725,normal
66,elevated,65.849754,elevated
39,normal,38.090977,normal
57,elevated,57.70977,elevated
66,elevated,68.1451,elevated
34,normal,36.415512,normal
61,elevated,61.875553,elevated
64,elevated,63.7319,elevated
54,normal,54.835472,normal
53,normal,52.74219,normal
27,normal,28.932955,normal
59,elevated,61.057594,elevated
55,normal,54.58966,normal
56,elevated,57.268997,elevated
96,elevated,101.99013,elevated
61,elevated,60.173233,elevated
68,elevated,68.80497,elevated
59,elevated,59.835583,elevated
58,elevated,59.117977,elevated
57,elevated,58.847244,elevated
46,normal,47.425377,normal
58,elevated,58.733307,elevated
52,normal,53.165592,normal
54,normal,54.72655,normal
